variable,group,1900,,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,
var 4,grp2,95.1,1,89.23,49.18,60.57,2.63,59.3,77.86,71.02,1.03,66.38,93.21,2
var 1,grp6,79.18,2,18.82,27.83,69.55,65.95,16.34,61.2,43.09,32.17,61.46,18.65,16
var 9,grp3,79.18,2,18.82,8.82,88.99,71.3,71.3,70.7,86.7,23.65,28.28,27.16,15
var 3,grp1,71.3,4,70.7,37.83,43.87,30.63,49.27,45.58,95.88,86.7,48.92,75.69,6
var 18,grp1,59.3,5,77.86,11.68,65.58,39.78,94.33,8.82,95.1,89.23,58.75,54.93,11
var 13,grp1,57.88,6,16.34,61.2,70.7,1.18,1.79,79.18,18.82,18.82,15.62,7.42,18
var 16,grp6,57.88,6,23.65,77.86,88.99,49.27,45.58,95.1,39.58,6.38,86.7,48.92,12
var 5,grp1,50.03,8,64.45,89.42,42.78,16.08,39.78,94.33,82.34,58.75,54.93,15.6,17
var 17,grp2,49.27,9,45.58,94.33,28.21,59.3,77.86,50.03,71.3,70.7,1.03,66.38,7
var 7,grp3,42.33,10,28.21,95.1,89.23,79.18,79.18,18.82,1.51,49.8,97.58,77.82,5
var 19,grp4,39.78,11,94.33,28.21,95.1,89.23,79.18,79.18,18.82,1.51,25.97,59.91,9
var 2,grp2,39.58,12,6.38,67.57,35.18,60.22,57.88,23.65,28.28,27.16,84.35,6.09,19
var 12,grp6,16.34,13,1.18,1.79,6.38,89.23,8.82,88.99,25.97,94.33,82.34,58.75,10
var 15,grp2,16.34,13,61.2,45.58,64.45,57.88,23.65,71.3,79.18,18.82,27.16,84.35,4
var 0,grp1,11.68,15,65.58,31.65,79.17,55.42,1.18,1.79,54.13,15.62,7.42,40.42,13
var 8,grp6,11.68,15,65.58,50.03,64.45,39.58,39.58,6.38,27.16,7.9,6.94,99.33,1
var 10,grp2,11.68,15,65.58,42.33,28.21,95.1,95.1,89.23,1.03,45.58,95.88,86.7,3
var 6,grp4,8.82,18,88.99,6.29,10.25,20.75,18.65,23.43,14.79,25.97,59.91,37.21,14
var 11,grp5,1.18,19,1.79,79.18,18.82,70.7,50.03,64.45,58.75,77.86,71.02,1.03,20
var 14,grp5,1.18,19,1.79,23.65,89.23,16.34,61.2,39.58,6.38,6.38,32.17,61.46,8
